1.71225E+12,2718,MyHomePage,200,OK,Users 1-1,text,TRUE,,61157,256,5,5,https://lifechangers.org/resources,888,0,376
1.71225E+12,888,MyHomePage-0,301,Moved Permanently,Users 1-1,text,TRUE,,460,128,5,5,http://lifechangers.org/resources,888,0,376
1.71225E+12,1829,MyHomePage-1,200,OK,Users 1-1,text,TRUE,,60697,128,5,5,https://lifechangers.org/resources,1501,0,902
1.71225E+12,2634,MyHomePage,200,OK,Users 1-2,text,TRUE,,61157,256,4,4,https://lifechangers.org/resources,799,0,331
1.71225E+12,799,MyHomePage-0,301,Moved Permanently,Users 1-2,text,TRUE,,460,128,4,4,http://lifechangers.org/resources,799,0,331
1.71225E+12,1834,MyHomePage-1,200,OK,Users 1-2,text,TRUE,,60697,128,4,4,https://lifechangers.org/resources,1489,0,906
1.71225E+12,2587,MyHomePage,200,OK,Users 1-4,text,TRUE,,61157,256,3,3,https://lifechangers.org/resources,750,0,293
1.71225E+12,750,MyHomePage-0,301,Moved Permanently,Users 1-4,text,TRUE,,460,128,3,3,http://lifechangers.org/resources,750,0,293
1.71225E+12,1837,MyHomePage-1,200,OK,Users 1-4,text,TRUE,,60697,128,3,3,https://lifechangers.org/resources,1458,0,882
1.71225E+12,2867,MyHomePage,200,OK,Users 1-3,text,TRUE,,61157,256,2,2,https://lifechangers.org/resources,759,0,301
1.71225E+12,759,MyHomePage-0,301,Moved Permanently,Users 1-3,text,TRUE,,460,128,2,2,http://lifechangers.org/resources,759,0,301
1.71225E+12,2107,MyHomePage-1,200,OK,Users 1-3,text,TRUE,,60697,128,2,2,https://lifechangers.org/resources,1473,0,890
1.71225E+12,2655,MyHomePage,200,OK,Users 1-5,text,TRUE,,61157,256,1,1,https://lifechangers.org/resources,801,0,296
1.71225E+12,801,MyHomePage-0,301,Moved Permanently,Users 1-5,text,TRUE,,460,128,1,1,http://lifechangers.org/resources,801,0,296
1.71225E+12,1854,MyHomePage-1,200,OK,Users 1-5,text,TRUE,,60697,128,1,1,https://lifechangers.org/resources,1491,0,899
